hotel_name,zip,lat_long
"The Mansfield Hotel, New York",10036,"['40.755184', '-73.980996']"
"Dream Midtown, New York",10019,"['40.764583', '-73.981828']"
"Trump International Hotel & Tower New York, New York",10019,"['40.769045', '-73.981248']"
"Life Hotel NoMad, New York",10001,"['40.747044', '-73.987129']"
"The Westin New York Grand Central, New York",10017,"['40.750407', '-73.973775']"
"Hyatt Place New York Midtown South, New York",10018,"['40.750584', '-73.985666']"
"Upper West Side Manhattan Apartment, New York",10026,"['40.80013', '-73.95536']"
"Q&A Residential Hotel, New York",10005,"['40.706287', '-74.007859']"
"Hampton Inn Manhattan/Times Square South, New York",10018,"['40.756107', '-73.992997']"
"Kimpton Hotel Eventi, New York",10001,"['40.74719', '-73.9897']"
"Best Western Bowery Hanbee Hotel, New York",10013,"['40.718604', '-73.995259']"
"Holiday Inn Express - New York City Chelsea, New York",10001,"['40.748526', '-73.994504']"
"Market Rental NYC Midtown West, New York",10019,"['40.76573', '-73.9826']"
"Park Hyatt New York, New York",10019,"['40.765153', '-73.979124']"
"Blue Moon Boutique Hotel, New York",10002,"['40.7186', '-73.99001']"
"Cachet Boutique New York, New York",10036,"['40.760007', '-73.996383']"
"Market Rentals Downtown Apartments, New York",10040,"['40.824048', '-73.944764']"
"AKA Central Park, New York",10019,"['40.764511', '-73.975546']"
"Renaissance New York Times Square Hotel, New York",10036,"['40.75968', '-73.9843']"
"Fairfield Inn & Suites by Marriott New York ManhattanChelsea, New York",10001,"['40.746377', '-73.991344']"
"Renaissance New York Midtown Hotel, New York",10018,"['40.75197', '-73.990898']"
"HI New York City, New York",10025,"['40.798712', '-73.96696']"
"Aliz Hotel Times Square, New York",10018,"['40.75614', '-73.99173']"
"West 57th Street by Hilton Club, New York",10019,"['40.764528', '-73.977775']"
"The Assemblage John Street, New York",10038,"['40.709866', '-74.008844']"
"Hotel Americano, New York",10001,"['40.750616', '-74.003311']"
"CITY ROOMS NYC - Times Square, New York",10036,"['40.76037', '-73.9879']"
"2 rooms apartment, New York",10038,"['40.70942', '-74.006505']"
"Hotel 50 Bowery NYC, New York",10013,"['40.715841', '-73.996409']"
"Distrikt Hotel New York City, Tapestry Collection by Hilton, New York",10018,"['40.75661', '-73.99285']"
